augmentation,run,train_accuracy,val_accuracy,test_accuracy
no_augmentation,1,99.51130116065974,70.2439024390244,64.8764769065521
no_augmentation,2,100.0,70.97560975609755,68.31364124597208
no_augmentation,3,98.96151496640195,70.97560975609755,69.65628356605801
no_augmentation,4,99.02260232131948,77.07317073170732,70.30075187969925
no_augmentation,5,99.8167379352474,71.95121951219512,69.70998925886144
color_jitter,1,83.13989004276115,70.0,70.56928034371643
color_jitter,2,79.47464874770922,75.85365853658537,70.78410311493018
color_jitter,3,79.16921197312156,71.95121951219512,71.16004296455424
color_jitter,4,79.65791081246182,78.04878048780488,74.7046186895811
color_jitter,5,76.11484422724496,71.95121951219512,71.80451127819549
random_rotation,1,82.16249236408063,76.09756097560975,73.52309344790548
random_rotation,2,80.20769700671961,75.60975609756098,73.4156820622986
random_rotation,3,82.16249236408063,72.92682926829268,75.02685284640172
random_rotation,4,78.74160048869884,72.1951219512195,72.71750805585393
random_rotation,5,74.95418448381186,74.63414634146342,71.5359828141783
random_horizontal_flip,1,86.19425778863776,71.46341463414635,66.05800214822771
random_horizontal_flip,2,87.66035430665852,72.6829268292683,69.38775510204081
random_horizontal_flip,3,85.46120952962737,71.21951219512195,68.90440386680989
random_horizontal_flip,4,87.23274282223579,67.07317073170732,65.41353383458646
random_horizontal_flip,5,88.69883934025657,71.46341463414635,71.5359828141783
random_affine,1,74.16004886988394,68.29268292682927,71.42857142857143
random_affine,2,73.67135003054368,70.97560975609755,68.95810955961332
random_affine,3,76.17593158216249,73.90243902439025,71.91192266380236
random_affine,4,68.84544899205865,67.5609756097561,66.64876476906552
random_affine,5,77.27550397067807,73.90243902439025,72.07303974221267
random_resized_crop,1,77.45876603543067,71.70731707317073,69.92481203007519
random_resized_crop,2,75.2596212583995,73.65853658536585,70.515574650913
random_resized_crop,3,79.10812461820403,74.14634146341463,71.80451127819549
random_resized_crop,4,77.09224190592548,71.21951219512195,69.28034371643395
random_resized_crop,5,73.85461209529628,65.60975609756098,64.71535982814179
color_jitter+random_rotation+random_horizontal_flip+random_affine+random_resized_crop,1,69.70067196090409,68.29268292682927,69.60257787325456
color_jitter+random_rotation+random_horizontal_flip+random_affine+random_resized_crop,2,71.77764202810019,69.7560975609756,68.2062298603652
color_jitter+random_rotation+random_horizontal_flip+random_affine+random_resized_crop,3,72.81612706169823,72.6829268292683,71.32116004296455
color_jitter+random_rotation+random_horizontal_flip+random_affine+random_resized_crop,4,58.582773365913255,61.46341463414634,58.21697099892589
color_jitter+random_rotation+random_horizontal_flip+random_affine+random_resized_crop,5,70.37263286499694,71.21951219512195,70.78410311493018
