Click count,Click generation,Loss,Dice overlap,Intersection over Union,Accuracy,Sensibility,Specificity
1,random,0.13740889728069305,0.051398053765296936,0.734235405921936,0.9515488147735596,0.864897608757019,0.9806301593780518
2,random,0.1516459435224533,0.06586338579654694,0.6881488561630249,0.9492340087890625,0.9174473881721497,0.9595818519592285
4,random,0.13856154680252075,0.056832388043403625,0.7236758470535278,0.9523178339004517,0.9290848970413208,0.9597374200820923
6,random,0.10752204060554504,0.03840997815132141,0.7973048686981201,0.9592193365097046,0.9280750751495361,0.9694312810897827
8,random,0.11451523005962372,0.03674370050430298,0.8065670132637024,0.9573761224746704,0.9320588111877441,0.9655539989471436
10,random,0.10393820703029633,0.031367748975753784,0.82720947265625,0.9625869989395142,0.9049090147018433,0.9817783236503601
12,random,0.09463223814964294,0.03316868841648102,0.8217096328735352,0.964263916015625,0.9313545227050781,0.9751180410385132
14,random,0.09113626927137375,0.030135348439216614,0.8357709050178528,0.9661224484443665,0.9297472238540649,0.9780830144882202
16,random,0.10225312411785126,0.032623156905174255,0.8262767791748047,0.9621230959892273,0.9442809820175171,0.9677259922027588
1,edge,0.22757425904273987,0.08867540955543518,0.6014023423194885,0.9111038446426392,0.8430926203727722,0.9344054460525513
2,edge,0.15644009411334991,0.048386797308921814,0.7518056035041809,0.9448333978652954,0.892991840839386,0.9619791507720947
4,edge,0.10897243022918701,0.03834173083305359,0.7957026958465576,0.9595184326171875,0.9012196063995361,0.979089081287384
6,edge,0.1308947503566742,0.047142818570137024,0.7612800598144531,0.9506851434707642,0.9248754978179932,0.9589593410491943
8,edge,0.1291578859090805,0.03669765591621399,0.7989811301231384,0.9580078125,0.8743196129798889,0.9860080480575562
10,edge,0.1269211620092392,0.03630942106246948,0.8023041486740112,0.9572357535362244,0.8844448328018188,0.9814261198043823
12,edge,0.12823481857776642,0.04151357710361481,0.7832220196723938,0.9534378051757812,0.9137587547302246,0.9665480256080627
14,edge,0.1107926219701767,0.042511433362960815,0.7795729637145996,0.9590377807617188,0.9234150648117065,0.9708000421524048
16,edge,0.10819642245769501,0.0368608683347702,0.801576554775238,0.9584915041923523,0.8999210596084595,0.9781279563903809
1,kmeans,0.18332603573799133,0.07112687826156616,0.6727122664451599,0.9338348507881165,0.9134893417358398,0.9407827854156494
2,kmeans,0.12262528389692307,0.04607613384723663,0.7560126781463623,0.9546523690223694,0.8690828084945679,0.9835929870605469
4,kmeans,0.14138424396514893,0.04683402180671692,0.7625687718391418,0.9510482549667358,0.9312344789505005,0.9573198556900024
6,kmeans,0.1218145415186882,0.04414552450180054,0.7713029384613037,0.9572860598564148,0.9136602282524109,0.9717341661453247
8,kmeans,0.11833086609840393,0.03984522819519043,0.7935066819190979,0.9533264636993408,0.9408531785011292,0.9572945833206177
10,kmeans,0.12195035070180893,0.03563900291919708,0.8095150589942932,0.9590027332305908,0.9227178692817688,0.9708062410354614
12,kmeans,0.11621277034282684,0.03891628980636597,0.796506941318512,0.9576080441474915,0.9302713871002197,0.9662927389144897
14,kmeans,0.10764019191265106,0.03337773680686951,0.8211089372634888,0.9600204229354858,0.9275062084197998,0.9706643223762512
16,kmeans,0.09324516355991364,0.03272441029548645,0.8238826990127563,0.9647903442382812,0.9283265471458435,0.9769675135612488
