augmentation,run,train_accuracy,val_accuracy,test_accuracy
no_augmentation,1,96.5791081246182,83.90243902439025,77.06766917293233
no_augmentation,2,96.51802076970067,80.2439024390244,77.22878625134264
no_augmentation,3,94.19670128283445,75.85365853658537,75.83243823845328
no_augmentation,4,94.31887599266952,85.1219512195122,79.00107411385606
no_augmentation,5,95.4184483811851,80.73170731707317,76.85284640171858
color_jitter,1,84.05620036652412,77.8048780487805,77.28249194414607
color_jitter,2,91.32559560171045,80.48780487804878,78.0343716433942
color_jitter,3,89.7373243738546,80.2439024390244,75.99355531686359
color_jitter,4,89.18753817959683,76.58536585365853,77.71213748657358
color_jitter,5,88.82101405009163,80.97560975609755,78.4640171858217
random_rotation,1,91.50885766646304,79.02439024390245,78.30290010741139
random_rotation,2,93.1582162492364,82.92682926829268,77.0139634801289
random_rotation,3,91.87538179596824,81.70731707317073,78.14178302900108
random_rotation,4,91.02015882712278,81.95121951219512,78.30290010741139
random_rotation,5,93.58582773365913,84.8780487804878,79.80665950590763
random_horizontal_flip,1,88.51557727550397,79.7560975609756,79.32330827067669
random_horizontal_flip,2,92.5473427000611,81.70731707317073,77.87325456498388
random_horizontal_flip,3,90.04276114844227,83.90243902439025,78.73254564983888
random_horizontal_flip,4,91.02015882712278,83.41463414634147,77.49731471535983
random_horizontal_flip,5,90.71472205253512,81.70731707317073,81.04189044038668
random_affine,1,86.68295662797802,78.04878048780488,79.21589688506982
random_affine,2,87.35491753207086,83.17073170731707,77.81954887218045
random_affine,3,87.23274282223579,79.26829268292683,80.7733619763695
random_affine,4,72.32742822235797,66.34146341463415,72.28786251342642
random_affine,5,89.49297495418449,80.2439024390244,79.32330827067669
random_resized_crop,1,91.69211973121564,82.1951219512195,76.96025778732546
random_resized_crop,2,85.76664630421503,79.7560975609756,76.26208378088077
random_resized_crop,3,87.78252901649358,77.8048780487805,76.74543501611171
random_resized_crop,4,87.78252901649358,79.26829268292683,76.36949516648765
random_resized_crop,5,89.37080024434943,76.82926829268293,75.2953813104189
color_jitter+random_rotation+random_horizontal_flip+random_affine+random_resized_crop,1,78.19181429444104,74.63414634146342,73.8453276047261
color_jitter+random_rotation+random_horizontal_flip+random_affine+random_resized_crop,2,78.43616371411117,74.63414634146342,78.78625134264232
color_jitter+random_rotation+random_horizontal_flip+random_affine+random_resized_crop,3,79.0470372632865,76.58536585365853,76.90655209452201
color_jitter+random_rotation+random_horizontal_flip+random_affine+random_resized_crop,4,74.40439828955407,68.29268292682927,72.12674543501612
color_jitter+random_rotation+random_horizontal_flip+random_affine+random_resized_crop,5,79.0470372632865,75.85365853658537,75.67132116004296
